Timestamp,Email Address,Partner 1 - CS Login,Partner 1 - Github Username,Partner 1 - Discord Username,Partner 2 - CS Login,Partner 2 - Github Username,Partner 2 - Discord Username,Partner 3 - CS Login,Partner 3 - Github Username,Partner 3 - Discord Username,Check all mentor meeting slots for which your entire group will be available each week of Project 2
1/28/2022,rriveles0@yahoo.com,scolbertson0,crisley0,dfoss0,eberrill0,dbeddingham0,rwisniowski0,ekinny0,vtewelson0,vhanham0,"Tues 4:30pm - 4:45pm, Weds 2:00pm - 2:15pm, Weds 7:40pm - 7:55pm, Tues 7:40pm - 7:55pm, Weds 2:40pm - 2:55pm, Weds 8:00pm - 8:15pm, Tues 10:00am - 10:15am, Weds 7:00pm - 7:15pm, Tues 8:00pm - 8:15pm, Tues 8:40pm - 8:55pm, Tues 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Tues 4:50pm - 5:05pm, Weds 7:20pm - 7:35pm, Weds 5:00pm - 5:15pm, Tues 5:10pm - 5:25pm, Tues 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Tues 11:00am - 11:15am, Tues 11:20am - 11:35am"
9/22/2021,ksapauton1@imgur.com,gcreamen1,dfuncheon1,davrahamian1,lsaunton1,cbrimman1,aaslen1,dlingfoot1,fhendrix1,btarbett1,"Tues 4:30pm - 4:45pm, Weds 7:00pm - 7:15pm, Weds 9:00pm - 9:15pm, Tues 6:00pm - 6:15pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Tues 7:00pm - 7:15pm, Weds 8:40pm - 8:55pm, Weds 9:20pm - 9:35pm, Weds 5:40pm - 5:55pm, Tues 10:00am - 10:15am, Weds 2:40pm - 2:55pm"
6/13/2021,kkinnen2@squarespace.com,bmawhinney2,rkemer2,cderrico2,mfronczak2,pberceros2,gcollaton2,mbiaggetti2,cwase2,omcphelim2,"Weds 9:00pm - 9:15pm, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Tues 10:40am - 10:55am, Weds 2:40pm - 2:55pm, Tues 10:20am - 10:35am, Tues 8:00pm - 8:15pm, Weds 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm"
4/6/2021,rmuzzlewhite3@dedecms.com,zainslee3,cyakubov3,jvel3,bstuckes3,sfussey3,efriberg3,mmcpeake3,lgoakes3,bagney3,"Weds 5:40pm - 5:55pm, Weds 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 2:40pm - 2:55pm"
10/23/2021,eohartigan4@hao123.com,ccamber4,jwiffield4,kclayworth4,edonoher4,cmeacher4,bgrierson4,rmacaindreis4,bgask4,mstert4,"Tues 4:50pm - 5:05pm, Tues 8:20pm - 8:35pm, Weds 9:20pm - 9:35pm, Weds 9:40pm - 9:55pm, Weds 5:20pm - 5:35pm, Weds 9:00pm - 9:15pm, Weds 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Tues 5:10pm - 5:25pm"
10/11/2021,dmalkie5@google.co.jp,arushbrook5,ksambiedge5,mwyldish5,sfransman5,nhunday5,ouzielli5,sjoss5,lcarlton5,cjarley5,"Tues 7:20pm - 7:35pm, Weds 8:00pm - 8:15pm, Tues 4:30pm - 4:45pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Weds 5:20pm - 5:35pm, Tues 6:20pm - 6:35pm, Tues 7:00pm - 7:15pm, Tues 8:40pm - 8:55pm"
7/7/2021,tsiviter6@taobao.com,bcoudray6,jbalducci6,gfransman6,stomkys6,fmcgenn6,adecruce6,adalziell6,mvaugham6,wreynalds6,"Tues 8:00pm - 8:15pm, Tues 4:30pm - 4:45pm, Tues 6:20pm - 6:35pm, Tues 4:50pm - 5:05pm, Weds 5:40pm - 5:55pm, Tues 11:20am - 11:35am, Tues 11:00am - 11:15am, Weds 9:20pm - 9:35pm, Weds 8:20pm - 8:35pm, Tues 10:20am - 10:35am, Weds 2:20pm - 2:35pm, Weds 9:40pm - 9:55pm, Tues 6:00pm - 6:15pm, Tues 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Weds 9:00pm - 9:15pm, Tues 6:40pm - 6:55pm, Weds 5:20pm - 5:35pm, Tues 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Weds 7:20pm - 7:35pm, Weds 2:00pm - 2:15pm, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm"
6/29/2021,cvitte7@mapquest.com,swordesworth7,scornels7,rroseveare7,rpooke7,cbarts7,sivanshintsev7,ehardwell7,kbernucci7,rfoxcroft7,"Tues 10:20am - 10:35am, Weds 9:40pm - 9:55pm, Weds 7:40pm - 7:55pm, Weds 8:40pm - 8:55pm, Weds 2:00pm - 2:15pm, Weds 8:20pm - 8:35pm, Weds 8:00pm - 8:15pm, Tues 10:00am - 10:15am, Tues 5:10pm - 5:25pm, Tues 4:50pm - 5:05pm, Weds 5:40pm - 5:55pm, Tues 4:30pm - 4:45pm, Tues 6:00pm - 6:15pm, Weds 7:20pm - 7:35pm, Weds 9:00pm - 9:15pm, Tues 7:20pm - 7:35pm"
3/27/2021,ngier8@4shared.com,pwoolaghan8,hgrunder8,bmenezes8,rcostelloe8,twildbore8,helsop8,megell8,gferraro8,grigden8,"Weds 7:40pm - 7:55pm, Tues 8:20pm - 8:35pm, Weds 7:00pm - 7:15pm, Weds 8:00pm - 8:15pm, Weds 2:00pm - 2:15pm, Weds 2:20pm - 2:35pm, Weds 8:40pm - 8:55pm, Tues 11:20am - 11:35am, Tues 4:50pm - 5:05pm, Tues 7:40pm - 7:55pm, Tues 6:00pm - 6:15pm, Tues 5:10pm - 5:25pm, Tues 5:10pm - 5:25pm, Tues 6:40pm - 6:55pm, Tues 8:00pm - 8:15pm, Tues 10:40am - 10:55am, Tues 11:00am - 11:15am, Weds 5:20pm - 5:35pm, Weds 9:00pm - 9:15pm"
9/21/2021,crye9@shutterfly.com,kwerendell9,aolifard9,nroyal9,jmcpake9,ddoudny9,rjansema9,gector9,tmariolle9,bmcrae9,"Tues 10:20am - 10:35am, Tues 5:10pm - 5:25pm, Tues 11:20am - 11:35am, Weds 8:20pm - 8:35pm, Tues 8:20pm - 8:35pm, Tues 6:20pm - 6:35pm, Tues 10:40am - 10:55am, Tues 8:00pm - 8:15pm, Tues 4:30pm - 4:45pm, Weds 7:00pm - 7:15pm, Tues 7:00pm - 7:15pm"
