Timestamp,Email Address,Your CS Login,Github Username,Discord,(optional) Partner CS Login,(optional) Partner Github Login,(optional) partner discord login,Check all mentor meeting slots for which you will be available each week of Project 2
1/8/2022,sstenning0@creativecommons.org,hpenkman0,vblumfield0,ldilger0,,,,"Tues 10:00am - 10:15am, Tues 7:20pm - 7:35pm, Weds 9:20pm - 9:35pm, Tues 4:50pm - 5:05pm, Weds 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Weds 7:40pm - 7:55pm, Weds 9:00pm - 9:15pm, Tues 7:00pm - 7:15pm, Weds 7:00pm - 7:15pm, Tues 4:30pm - 4:45pm, Tues 5:10pm - 5:25pm, Tues 6:20pm - 6:35pm, Tues 8:20pm - 8:35pm, Weds 2:40pm - 2:55pm, Weds 2:00pm - 2:15pm, Weds 8:40pm - 8:55pm, Weds 5:20pm - 5:35pm, Tues 10:40am - 10:55am, Tues 7:40pm - 7:55pm"
7/7/2021,omccarrell1@ovh.net,tmunby1,jdeetlof1,jaspinal1,,,,"Tues 5:10pm - 5:25pm, Weds 8:40pm - 8:55pm, Weds 2:40pm - 2:55pm, Weds 5:00pm - 5:15pm, Tues 11:00am - 11:15am, Weds 9:20pm - 9:35pm, Tues 6:00pm - 6:15pm, Tues 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Tues 8:20pm - 8:35pm, Weds 9:00pm - 9:15pm, Tues 11:20am - 11:35am"
4/21/2021,crossey2@webs.com,dcraster2,bhearty2,iscarlan2,,,,"Weds 8:40pm - 8:55pm, Tues 5:10pm - 5:25pm, Tues 10:40am - 10:55am, Weds 9:20pm - 9:35pm, Tues 11:20am - 11:35am, Weds 9:00pm - 9:15pm, Tues 10:20am - 10:35am, Tues 6:20pm - 6:35pm, Weds 5:40pm - 5:55pm, Weds 5:00pm - 5:15pm, Weds 8:00pm - 8:15pm, Tues 7:40pm - 7:55pm"
10/3/2021,pfreer3@tamu.edu,adeal3,mhounson3,agoldby3,,,,"Tues 11:20am - 11:35am, Weds 8:00pm - 8:15pm, Tues 5:10pm - 5:25pm, Weds 9:40pm - 9:55pm, Weds 9:00pm - 9:15pm, Tues 6:40pm - 6:55pm, Weds 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Tues 7:40pm - 7:55pm, Tues 11:00am - 11:15am, Tues 4:50pm - 5:05pm, Tues 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Tues 8:20pm - 8:35pm, Weds 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm, Tues 6:00pm - 6:15pm, Weds 9:20pm - 9:35pm, Tues 7:00pm - 7:15pm"
4/24/2021,rkeyhoe4@apache.org,tshrawley4,gmalenfant4,schesney4,,,,"Tues 6:20pm - 6:35pm, Tues 5:10pm - 5:25pm, Weds 9:20pm - 9:35pm, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Tues 10:20am - 10:35am, Tues 6:40pm - 6:55pm, Weds 8:40pm - 8:55pm, Tues 7:20pm - 7:35pm, Tues 10:00am - 10:15am, Tues 7:40pm - 7:55pm, Weds 9:00pm - 9:15pm, Weds 2:40pm - 2:55pm, Weds 8:20pm - 8:35pm, Tues 11:00am - 11:15am, Tues 7:00pm - 7:15pm, Weds 5:00pm - 5:15pm, Tues 4:50pm - 5:05pm, Tues 8:00pm - 8:15pm, Tues 11:20am - 11:35am"
10/23/2021,sgentil5@mediafire.com,mloffill5,pbaynard5,aelvins5,,,,"Weds 5:40pm - 5:55pm, Weds 9:20pm - 9:35pm, Tues 6:40pm - 6:55pm, Weds 7:20pm - 7:35pm, Tues 10:00am - 10:15am, Weds 7:00pm - 7:15pm"
12/22/2021,wdugmore6@nsw.gov.au,ecabane6,dwyness6,clyall6,hbowlands6,jdiggell6,lwoolford6,"Tues 7:00pm - 7:15pm, Tues 4:30pm - 4:45pm, Weds 7:20pm - 7:35pm, Tues 11:00am - 11:15am, Tues 5:10pm - 5:25pm"
8/29/2021,jjirsa7@ihg.com,sbernt7,wterbeck7,jferron7,,,,"Tues 7:20pm - 7:35pm, Weds 7:00pm - 7:15pm, Weds 5:20pm - 5:35pm, Tues 6:20pm - 6:35pm, Tues 10:20am - 10:35am, Tues 5:10pm - 5:25pm, Tues 8:40pm - 8:55pm, Weds 5:40pm - 5:55pm, Tues 5:10pm - 5:25pm, Weds 9:40pm - 9:55pm, Weds 8:00pm - 8:15pm, Weds 5:00pm - 5:15pm, Weds 2:40pm - 2:55pm"
11/20/2021,obellwood8@nydailynews.com,sdavidovitch8,cvakhrushev8,mnote8,tbernhardsson8,ivanner8,lhourican8,"Weds 5:20pm - 5:35pm, Tues 8:00pm - 8:15pm"
8/6/2021,mgorman9@myspace.com,brosling9,bharper9,lcutbirth9,,,,"Tues 6:20pm - 6:35pm, Weds 2:20pm - 2:35pm, Weds 7:40pm - 7:55pm, Tues 11:00am - 11:15am, Weds 9:00pm - 9:15pm, Tues 7:00pm - 7:15pm, Weds 2:00pm - 2:15pm, Tues 4:50pm - 5:05pm, Weds 5:40pm - 5:55pm, Tues 10:40am - 10:55am, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm, Weds 7:20pm - 7:35pm, Tues 10:00am - 10:15am, Tues 8:20pm - 8:35pm"
